date,reg_rider,reg_driver,rider_to_driver_ratio
2024-12-11,453,76,5.9605263157894735
2024-12-12,457,41,11.146341463414634
2024-12-13,478,62,7.709677419354839
2024-12-14,476,68,7.0
2024-12-15,472,36,13.11111111111111
2024-12-16,448,92,4.869565217391305
2024-12-17,355,115,3.0869565217391304
2024-12-18,304,122,2.4918032786885247
2024-12-19,302,135,2.237037037037037
2024-12-20,326,125,2.608
2024-12-21,402,94,4.276595744680851
2024-12-22,372,31,12.0
2024-12-23,298,86,3.4651162790697674
2024-12-24,259,63,4.111111111111111
2024-12-25,262,37,7.081081081081081
2024-12-26,361,40,9.025
2024-12-27,304,60,5.066666666666666
2024-12-28,429,61,7.032786885245901
2024-12-29,921,63,14.619047619047619
2024-12-30,780,67,11.64179104477612
2024-12-31,456,51,8.941176470588236
2025-01-01,560,21,26.666666666666668
2025-01-02,478,50,9.56
2025-01-03,418,55,7.6
2025-01-04,433,60,7.216666666666667
2025-01-05,350,51,6.862745098039215
2025-01-06,309,41,7.536585365853658
2025-01-07,261,65,4.015384615384615
2025-01-08,254,40,6.35
2025-01-09,242,40,6.05
2025-01-10,303,41,7.390243902439025
2025-01-11,304,37,8.216216216216216
2025-01-12,211,24,8.791666666666666
2025-01-13,191,23,8.304347826086957
2025-01-14,198,14,14.142857142857142
2025-01-15,261,21,12.428571428571429
2025-01-16,289,22,13.136363636363637
2025-01-17,224,41,5.463414634146342
2025-01-18,324,48,6.75
2025-01-19,291,38,7.657894736842105
2025-01-20,280,31,9.03225806451613
2025-01-21,211,32,6.59375
2025-01-22,229,33,6.9393939393939394
2025-01-23,185,48,3.8541666666666665
2025-01-24,237,39,6.076923076923077
2025-01-25,237,52,4.5576923076923075
2025-01-26,247,41,6.024390243902439
2025-01-27,229,45,5.088888888888889
2025-01-28,188,23,8.173913043478262
2025-01-29,219,45,4.866666666666666
2025-01-30,314,39,8.051282051282051
2025-01-31,326,46,7.086956521739131
2025-02-01,364,34,10.705882352941176
2025-02-02,369,31,11.903225806451612
2025-02-03,325,26,12.5
2025-02-04,284,24,11.833333333333334
2025-02-05,259,44,5.886363636363637
2025-02-06,279,30,9.3
2025-02-07,260,29,8.96551724137931
2025-02-08,285,30,9.5
2025-02-09,275,30,9.166666666666666
2025-02-10,248,15,16.533333333333335
2025-02-11,229,33,6.9393939393939394
2025-02-12,238,23,10.347826086956522
2025-02-13,207,31,6.67741935483871
2025-02-14,227,15,15.133333333333333
2025-02-15,244,23,10.608695652173912
2025-02-16,271,16,16.9375
2025-02-17,260,16,16.25
2025-02-18,196,15,13.066666666666666
2025-02-19,177,17,10.411764705882353
2025-02-20,198,22,9.0
2025-02-21,231,30,7.7
2025-02-22,234,34,6.882352941176471
2025-02-23,248,14,17.714285714285715
2025-02-24,233,28,8.321428571428571
2025-02-25,184,23,8.0
2025-02-26,133,26,5.115384615384615
2025-02-27,151,28,5.392857142857143
2025-02-28,161,24,6.708333333333333
2025-03-01,193,8,24.125
2025-03-02,167,9,18.555555555555557
2025-03-03,196,8,24.5
2025-03-04,157,9,17.444444444444443
2025-03-05,161,11,14.636363636363637
2025-03-06,167,4,41.75
2025-03-07,328,15,21.866666666666667
2025-03-08,230,8,28.75
2025-03-09,196,8,24.5
2025-03-10,274,6,45.666666666666664
2025-03-11,309,16,19.3125
2025-03-12,384,18,21.333333333333332
2025-03-13,364,15,24.266666666666666
2025-03-14,190,7,27.142857142857142
2025-03-15,176,7,25.142857142857142
2025-03-16,195,9,21.666666666666668
2025-03-17,232,12,19.333333333333332
2025-03-18,178,9,19.77777777777778
2025-03-19,199,12,16.583333333333332
2025-03-20,147,12,12.25
2025-03-21,147,17,8.647058823529411
2025-03-22,187,10,18.7
2025-03-23,189,16,11.8125
2025-03-24,177,12,14.75
2025-03-25,160,10,16.0
2025-03-26,158,24,6.583333333333333
2025-03-27,178,13,13.692307692307692
2025-03-28,197,8,24.625
2025-03-29,180,29,6.206896551724138
2025-03-30,170,19,8.947368421052632
2025-03-31,187,26,7.1923076923076925
2025-04-01,217,13,16.692307692307693
2025-04-02,241,13,18.53846153846154
2025-04-03,422,8,52.75
2025-04-04,215,18,11.944444444444445
2025-04-05,182,21,8.666666666666666
